Quadrado mágico.
R 0.063000 ms.
C 43.585999 ms.
R 0.063000 ms.
C 40.230999 ms.
D 0.000000 ms.
T 0.000000 ms.
E 564.816040 ms.
e 563.710022 ms.
R 0.063000 ms.
C 43.428001 ms.
D 0.002000 ms.
T 0.000000 ms.
E 570.281982 ms.
e 567.565002 ms.
D 0.000000 ms.
T 0.000000 ms.
E 564.625000 ms.
e 561.969971 ms.
R 0.063000 ms.
C 43.507000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 567.437988 ms.
e 564.700989 ms.
Quadrado mágico.
R 0.063000 ms.
C 59.091003 ms.
D 0.000000 ms.
R 0.062000 ms.
C 40.216980 ms.
D 0.001000 ms.
T 0.000000 ms.
E 567.395996 ms.
e 565.323975 ms.
T 0.000000 ms.
E 576.369995 ms.
e 575.273010 ms.
R 0.062000 ms.
C 59.106018 ms.
D 0.000000 ms.
R 0.062000 ms.
C 59.133972 ms.
D 0.000000 ms.
T 0.000000 ms.
E 570.804993 ms.
T 0.000000 ms.
E 573.630981 ms.
e 570.956970 ms.
e 566.072021 ms.
Quadrado mágico.
R 0.064000 ms.
C 52.206001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 574.067993 ms.
e 571.356995 ms.
R 0.063000 ms.
R 0.063000 ms.
C 61.653000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 572.273987 ms.
e 569.609985 ms.
R 0.064000 ms.
C 61.678001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 572.598022 ms.
e 571.554016 ms.
C 61.740002 ms.
D 0.001000 ms.
T 0.000000 ms.
E 579.193970 ms.
e 576.860962 ms.
Quadrado mágico.
R 0.063000 ms.
C 57.613998 ms.
D 0.000000 ms.
T 0.000000 ms.
E 569.541016 ms.
e 568.481995 ms.
R 0.063000 ms.
C 57.493000 ms.
D 0.002000 ms.
T 0.000000 ms.
E 574.940002 ms.
e 572.703003 ms.
R 0.063000 ms.
R 0.062000 ms.
C 57.567001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 572.346985 ms.
e 569.677002 ms.
C 44.227001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 569.452026 ms.
e 566.767029 ms.
Quadrado mágico.
R 0.062000 ms.
C 61.813000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 580.728027 ms.
e 578.678040 ms.
R 0.063000 ms.
C 61.728001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 576.833008 ms.
e 575.554993 ms.
R 0.062000 ms.
C 52.202000 ms.
D 0.002000 ms.
T 0.000000 ms.
E 584.250000 ms.
e 581.568970 ms.
R 0.061000 ms.
C 61.758999 ms.
D 0.000000 ms.
T 0.000000 ms.
E 580.831970 ms.
e 578.169983 ms.
Quadrado mágico.
R 0.065000 ms.
C 74.071999 ms.
D 0.000000 ms.
T 0.000000 ms.
E 588.967041 ms.
e 587.926025 ms.
R 0.065000 ms.
C 64.199997 ms.
D 0.002000 ms.
T 0.000000 ms.
E 594.898987 ms.
e 592.214966 ms.
R 0.065000 ms.
C 73.913002 ms.
D 0.000000 ms.
T 0.000000 ms.
R 0.065000 ms.
C 58.330002 ms.
D 0.000000 ms.
T 0.000000 ms.
E 590.084961 ms.
e 587.355957 ms.
E 593.927979 ms.
e 591.113953 ms.
Quadrado mágico.
R 0.075000 ms.
C 61.695000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 573.934998 ms.
e 571.250000 ms.
R 0.075000 ms.
C 61.757000 ms.
D 0.002000 ms.
T 0.000000 ms.
E 579.863037 ms.
e 577.639038 ms.
R 0.075000 ms.
C 48.165001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 577.286011 ms.
e 574.637024 ms.
R 0.075000 ms.
C 61.735001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 575.708984 ms.
e 574.674011 ms.
Quadrado mágico.
R 0.064000 ms.
C 54.683998 ms.
D 0.000000 ms.
R 0.065000 ms.
C 44.216999 ms.
D 0.000000 ms.
T 0.000000 ms.
E 575.718018 ms.
e 574.679993 ms.
R 0.065000 ms.
C 54.681000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 578.460999 ms.
e 575.773987 ms.
T 0.000000 ms.
R 0.063000 ms.
C 54.751999 ms.
D 0.003000 ms.
T 0.000000 ms.
E 581.354004 ms.
e 579.272034 ms.
E 575.374023 ms.
e 572.647034 ms.
Quadrado mágico.
R 0.061000 ms.
C 208.177002 ms.
D 0.000000 ms.
T 0.000000 ms.
E 737.757996 ms.
e 735.029968 ms.
R 0.062000 ms.
C 204.181030 ms.
D 0.001000 ms.
T 0.000000 ms.
E 744.309998 ms.
e 741.651978 ms.
R 0.063000 ms.
C 212.177002 ms.
D 0.000000 ms.
T 0.000000 ms.
E 738.958008 ms.
e 737.838013 ms.
R 0.062000 ms.
C 218.731995 ms.
D 0.000000 ms.
T 0.000000 ms.
E 742.846985 ms.
e 740.601990 ms.
Quadrado mágico.
R 0.081000 ms.
C 0.393000 ms.
D 0.003000 ms.
T 0.000000 ms.
E 519.846008 ms.
e 517.184021 ms.
R 0.081000 ms.
C 0.564000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 517.185974 ms.
e 514.517944 ms.
R 0.082000 ms.
C 0.354000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 515.796021 ms.
e 514.695007 ms.
R 0.081000 ms.
C 0.272000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 516.638977 ms.
e 513.934998 ms.
Quadrado mágico.
R 0.063000 ms.
C 188.167999 ms.
D 0.000000 ms.
T 0.000000 ms.
E 718.465027 ms.
e 716.265015 ms.
R 0.062000 ms.
C 180.182999 ms.
D 0.000000 ms.
T 0.000000 ms.
E 721.968018 ms.
e 719.312988 ms.
R 0.063000 ms.
C 196.378998 ms.
D 0.002000 ms.
T 0.000000 ms.
E 724.994995 ms.
e 721.922974 ms.
R 0.063000 ms.
C 196.440002 ms.
D 0.000000 ms.
T 0.000000 ms.
E 719.822998 ms.
e 718.689026 ms.
Quadrado mágico.
R 0.064000 ms.
C 50.631001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 571.674988 ms.
e 569.023987 ms.
R 0.064000 ms.
C 40.193001 ms.
D 0.003000 ms.
T 0.000000 ms.
E 575.247986 ms.
e 573.117981 ms.
R 0.064000 ms.
C 50.594002 ms.
D 0.000000 ms.
T 0.000000 ms.
E 570.505981 ms.
e 569.471008 ms.
R 0.064000 ms.
C 50.694000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 571.489990 ms.
e 568.787964 ms.
Quadrado mágico.
R 0.065000 ms.
C 62.525002 ms.
D 0.000000 ms.
T 0.000000 ms.
E 578.424988 ms.
R 0.064000 ms.
C 62.598000 ms.
D 0.000000 ms.
e 577.464966 ms.
T 0.000000 ms.
E 580.890991 ms.
e 578.302002 ms.
R 0.065000 ms.
C 52.178001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 578.424011 ms.
e 576.169983 ms.
R 0.065000 ms.
C 62.544998 ms.
D 0.001000 ms.
T 0.000000 ms.
E 584.799011 ms.
e 582.046997 ms.
Quadrado mágico.
R 0.071000 ms.
C 0.445000 ms.
D 0.000000 ms.
T 0.000000 ms.
R 0.069000 ms.
C 0.331000 ms.
D 0.003000 ms.
T 0.000000 ms.
R 0.071000 ms.
C 0.216000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 513.428955 ms.
e 512.477966 ms.
E 518.247986 ms.
e 515.554016 ms.
E 515.476990 ms.
e 513.352966 ms.
R 0.071000 ms.
C 0.246000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 512.816040 ms.
e 510.159027 ms.
Quadrado mágico.
R 0.064000 ms.
C 57.053001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 574.188965 ms.
e 571.486938 ms.
R 0.064000 ms.
C 57.158001 ms.
D 0.002000 ms.
T 0.000000 ms.
E 578.640015 ms.
e 575.949036 ms.
R 0.062000 ms.
C 57.084999 ms.
D 0.000000 ms.
T 0.000000 ms.
E 573.010010 ms.
e 571.919006 ms.
R 0.064000 ms.
C 52.202000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 574.776001 ms.
e 572.629028 ms.
Quadrado mágico.
R 0.063000 ms.
C 206.863998 ms.
D 0.002000 ms.
R 0.063000 ms.
C 196.134003 ms.
R 0.064000 ms.
C 206.753998 ms.
D 0.000000 ms.
T 0.000000 ms.
E 721.729980 ms.
T 0.000000 ms.
E 726.567993 ms.
e 724.263977 ms.
e 720.822998 ms.
D 0.000000 ms.
T 0.000000 ms.
E 720.979980 ms.
e 718.304993 ms.
R 0.065000 ms.
C 192.113007 ms.
D 0.000000 ms.
T 0.000000 ms.
E 726.268005 ms.
e 723.578003 ms.
Quadrado mágico.
R 0.070000 ms.
C 52.321999 ms.
D 0.000000 ms.
T 0.000000 ms.
E 577.692993 ms.
e 575.021973 ms.
R 0.069000 ms.
C 62.421001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 580.738037 ms.
e 578.661011 ms.
R 0.070000 ms.
C 62.365002 ms.
D 0.002000 ms.
T 0.000000 ms.
E 585.172974 ms.
e 582.459961 ms.
R 0.069000 ms.
C 52.289001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 580.432983 ms.
e 579.297974 ms.
Quadrado mágico.
R 0.063000 ms.
C 181.572998 ms.
D 0.000000 ms.
T 0.000000 ms.
E 704.285034 ms.
e 701.542053 ms.
R 0.063000 ms.
C 168.146973 ms.
D 0.001000 ms.
T 0.000000 ms.
E 710.032959 ms.
e 707.832947 ms.
R 0.063000 ms.
C 181.653015 ms.
D 0.000000 ms.
T 0.000000 ms.
E 705.213013 ms.
e 704.264038 ms.
R 0.063000 ms.
C 172.171997 ms.
D 0.000000 ms.
T 0.000000 ms.
E 707.533997 ms.
e 704.851013 ms.
Quadrado mágico.
R 0.064000 ms.
C 61.271000 ms.
D 0.000000 ms.
T 0.000000 ms.
