Quadrado mágico.
R 129.291000 ms.
C 658.429993 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24689.664062 ms.
e 1305.449219 ms.
R 129.291000 ms.
C 668.799988 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24690.441406 ms.
e 1305.738281 ms.
R 129.291000 ms.
C 668.737976 ms.
D 0.640000 ms.
T 0.000000 ms.
E 24696.212891 ms.
e 1306.470703 ms.
R 129.291000 ms.
C 668.851990 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24693.859375 ms.
e 1306.962891 ms.
Quadrado mágico.
R 125.082001 ms.
C 810.760986 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24865.041016 ms.
R 125.083000 ms.
C 807.033020 ms.
D 0.661987 ms.
T 0.000000 ms.
e 1446.585938 ms.
E 24869.863281 ms.
e 1446.152344 ms.
R 125.083000 ms.
C 810.497986 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24865.066406 ms.
e 1447.406250 ms.
R 125.083000 ms.
C 799.021973 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24868.357422 ms.
e 1447.996094 ms.
Quadrado mágico.
R 125.267998 ms.
R 125.267998 ms.
C 653.664001 ms.
D 0.000000 ms.
T 0.000000 ms.
R 125.267998 ms.
C 659.476990 ms.
D 0.609000 ms.
T 0.000000 ms.
E 24692.072266 ms.
e 1298.988281 ms.
R 125.267998 ms.
C 659.567017 ms.
E 24686.648438 ms.
e 1298.894531 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24689.230469 ms.
e 1299.150391 ms.
C 659.504028 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24686.314453 ms.
e 1299.003906 ms.
Quadrado mágico.
R 127.962997 ms.
C 663.044006 ms.
D 0.618000 ms.
T 0.000000 ms.
E 24720.312500 ms.
e 1303.443359 ms.
R 127.963997 ms.
R 127.963997 ms.
C 662.992981 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24718.486328 ms.
e 1307.068359 ms.
R 127.963997 ms.
C 654.736023 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24718.605469 ms.
e 1298.654297 ms.
C 650.809021 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24721.152344 ms.
e 1271.095703 ms.
Quadrado mágico.
R 127.327003 ms.
C 658.395020 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24664.482422 ms.
e 1296.328125 ms.
R 127.327003 ms.
C 661.700989 ms.
D 0.606000 ms.
T 0.000000 ms.
E 24667.642578 ms.
e 1290.515625 ms.
R 127.327003 ms.
C 661.594971 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24663.693359 ms.
e 1297.416016 ms.
R 127.327003 ms.
C 661.604980 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24663.943359 ms.
e 1298.386719 ms.
Quadrado mágico.
R 125.358002 ms.
R 125.359001 ms.
C 659.288025 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24749.921875 ms.
e 1304.748047 ms.
R 125.358002 ms.
C 668.598022 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24750.183594 ms.
e 1304.714844 ms.
C 668.598022 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24753.162109 ms.
e 1304.761719 ms.
R 125.359001 ms.
C 651.281006 ms.
D 0.625000 ms.
T 0.000000 ms.
E 24756.830078 ms.
e 1305.091797 ms.
Quadrado mágico.
R 128.953003 ms.
C 655.984009 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24645.253906 ms.
e 1300.529297 ms.
R 128.953003 ms.
C 658.828003 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24642.000000 ms.
e 1300.636719 ms.
R 128.953003 ms.
R 128.953003 ms.
C 658.788025 ms.
D 0.815000 ms.
T 0.000000 ms.
E 24648.312500 ms.
e 1283.238281 ms.
C 658.958984 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24640.935547 ms.
e 1300.443359 ms.
Quadrado mágico.
R 129.403000 ms.
C 651.054993 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24745.626953 ms.
e 1293.693359 ms.
R 129.403000 ms.
C 658.879028 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24742.806641 ms.
e 1294.134766 ms.
R 129.403000 ms.
C 658.916016 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24742.814453 ms.
e 1293.919922 ms.
R 129.403000 ms.
C 658.958008 ms.
D 0.664000 ms.
T 0.000000 ms.
E 24749.839844 ms.
e 1294.425781 ms.
Quadrado mágico.
R 128.893997 ms.
R 128.893997 ms.
C 669.848022 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24681.119141 ms.
e 1303.632812 ms.
C 669.965027 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24683.763672 ms.
e 1303.628906 ms.
R 128.893997 ms.
C 660.992004 ms.
D 0.623000 ms.
T 0.000000 ms.
E 24687.710938 ms.
e 1300.529297 ms.
R 128.893997 ms.
C 669.940979 ms.
D 0.000000 ms.
T 0.000000 ms.
E 24683.691406 ms.
e 1305.412109 ms.
Quadrado mágico.
R 126.521004 ms.
C 660.612000 ms.
