Quadrado mágico.
R 2.134000 ms.
C 63.172001 ms.
D 0.000000 ms.
R 2.135000 ms.
C 63.235001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 662.398010 ms.
e 562.395020 ms.
T 0.000000 ms.
E 662.620972 ms.
e 570.256958 ms.
R 2.136000 ms.
C 63.355000 ms.
D 0.033000 ms.
T 0.000000 ms.
E 669.063965 ms.
e 565.262939 ms.
R 2.133000 ms.
C 59.956001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 668.900024 ms.
e 571.955017 ms.
Quadrado mágico.
R 2.276000 ms.
R 2.275000 ms.
C 189.843994 ms.
D 0.000000 ms.
T 0.000000 ms.
E 846.156006 ms.
e 748.572021 ms.
R 2.275000 ms.
C 189.832001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 843.235962 ms.
e 747.460938 ms.
C 179.972000 ms.
D 0.065000 ms.
T 0.000000 ms.
R 2.275000 ms.
C 171.951996 ms.
D 0.000000 ms.
T 0.000000 ms.
E 843.874023 ms.
e 752.718994 ms.
E 849.197998 ms.
e 750.966003 ms.
Quadrado mágico.
R 2.226000 ms.
C 59.910000 ms.
D 0.000000 ms.
T 0.000000 ms.
R 2.226000 ms.
C 68.897003 ms.
D 0.000000 ms.
T 0.000000 ms.
E 679.342041 ms.
e 587.583008 ms.
E 681.492004 ms.
R 2.226000 ms.
C 69.542999 ms.
D 0.000000 ms.
T 0.000000 ms.
E 678.865967 ms.
e 583.107971 ms.
R 2.226000 ms.
C 69.379997 ms.
D 0.030000 ms.
T 0.000000 ms.
E 684.572998 ms.
e 587.177002 ms.
e 583.460022 ms.
Quadrado mágico.
R 2.307000 ms.
C 55.382000 ms.
D 0.135000 ms.
T 0.000000 ms.
E 687.476990 ms.
e 589.466980 ms.
R 2.307000 ms.
C 51.877998 ms.
D 0.000000 ms.
T 0.000000 ms.
E 682.110962 ms.
e 586.829956 ms.
R 2.308000 ms.
C 55.532001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 684.507996 ms.
e 592.398987 ms.
R 2.308000 ms.
C 55.477001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 687.885010 ms.
e 590.708008 ms.
Quadrado mágico.
R 2.214000 ms.
C 55.979004 ms.
D 0.000000 ms.
T 0.000000 ms.
E 669.669006 ms.
e 573.002991 ms.
R 2.213000 ms.
C 67.023010 ms.
D 0.000000 ms.
T 0.000000 ms.
E 670.092041 ms.
e 579.214050 ms.
R 2.214000 ms.
C 66.978027 ms.
D 0.000000 ms.
T 0.000000 ms.
E 672.567993 ms.
e 576.327026 ms.
R 2.214000 ms.
C 67.056030 ms.
D 0.032000 ms.
T 0.000000 ms.
E 675.745972 ms.
e 576.878967 ms.
Quadrado mágico.
R 2.208000 ms.
C 60.731998 ms.
D 0.000000 ms.
T 0.000000 ms.
E 666.109009 ms.
e 567.427979 ms.
R 2.208000 ms.
C 60.575001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 665.157959 ms.
e 566.384949 ms.
R 2.208000 ms.
C 60.688000 ms.
D 0.068000 ms.
T 0.000000 ms.
E 671.019043 ms.
e 572.820068 ms.
R 2.208000 ms.
C 51.986000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 666.052979 ms.
e 572.537964 ms.
Quadrado mágico.
R 2.281000 ms.
C 4.305000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 605.966003 ms.
e 509.458008 ms.
R 2.281000 ms.
C 4.499000 ms.
D 0.038000 ms.
T 0.000000 ms.
R 2.280000 ms.
C 4.351000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 606.976990 ms.
e 514.598999 ms.
E 612.153992 ms.
e 510.639984 ms.
R 2.282000 ms.
C 4.485000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 609.544983 ms.
e 510.748993 ms.
Quadrado mágico.
R 2.247000 ms.
C 67.731003 ms.
D 0.000000 ms.
T 0.000000 ms.
E 669.075012 ms.
e 567.962036 ms.
R 2.247000 ms.
R 2.247000 ms.
C 51.917999 ms.
D 0.033000 ms.
T 0.000000 ms.
R 2.247000 ms.
C 67.775002 ms.
D 0.000000 ms.
T 0.000000 ms.
E 669.090027 ms.
E 675.804016 ms.
e 578.076050 ms.
e 576.564026 ms.
C 67.802002 ms.
D 0.000000 ms.
T 0.000000 ms.
E 672.456970 ms.
e 575.899963 ms.
Quadrado mágico.
R 2.244000 ms.
C 67.069000 ms.
D 0.246000 ms.
T 0.000000 ms.
E 674.693970 ms.
R 2.246000 ms.
C 66.970001 ms.
D 0.000000 ms.
T 0.000000 ms.
e 578.161987 ms.
E 667.684998 ms.
e 574.232971 ms.
R 2.245000 ms.
C 67.056999 ms.
D 0.000000 ms.
T 0.000000 ms.
E 670.927979 ms.
e 571.657959 ms.
R 2.245000 ms.
C 55.582001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 674.327026 ms.
e 577.671021 ms.
Quadrado mágico.
R 2.224000 ms.
C 47.699001 ms.
R 2.224000 ms.
C 58.192001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 665.431030 ms.
R 2.225000 ms.
C 58.132000 ms.
D 0.044000 ms.
e 573.292053 ms.
T 0.000000 ms.
E 670.927979 ms.
D 0.000000 ms.
T 0.000000 ms.
E 665.203979 ms.
e 568.263977 ms.
e 571.985962 ms.
R 2.225000 ms.
C 58.278000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 668.556030 ms.
e 571.362061 ms.
Quadrado mágico.
R 2.262000 ms.
C 67.794998 ms.
D 0.000000 ms.
T 0.000000 ms.
E 671.804993 ms.
e 579.926025 ms.
