Quadrado mágico.
e 747.972168 ms.
Quadrado mágico.
R 39.897999 ms.
R 39.897999 ms.
C 210.369995 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7522.997070 ms.
e 754.020020 ms.
C 198.410004 ms.
D 0.401000 ms.
T 0.000000 ms.
E 7528.592773 ms.
e 733.646973 ms.
R 39.897999 ms.
C 210.358002 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7528.089844 ms.
e 761.502930 ms.
R 39.896999 ms.
C 210.557007 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7526.859863 ms.
e 727.713867 ms.
Quadrado mágico.
R 38.562000 ms.
C 198.498993 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7501.763184 ms.
e 742.494141 ms.
R 38.562000 ms.
C 198.628006 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7499.658203 ms.
e 744.970215 ms.
R 38.562000 ms.
C 183.462006 ms.
D 0.461000 ms.
T 0.000000 ms.
E 7505.582031 ms.
e 744.713867 ms.
R 38.562000 ms.
C 198.535004 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7500.657227 ms.
e 745.984375 ms.
Quadrado mágico.
R 38.061001 ms.
C 183.449005 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7488.883789 ms.
e 725.873047 ms.
R 38.061001 ms.
C 191.391006 ms.
D 0.400000 ms.
R 38.061001 ms.
C 201.154999 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7492.923828 ms.
e 747.063965 ms.
R 38.061001 ms.
C 201.253998 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7489.501953 ms.
e 734.786133 ms.
T 0.000000 ms.
E 7496.020996 ms.
e 725.087891 ms.
