Quadrado mágico.
R 38.369999 ms.
R 38.369999 ms.
C 193.255005 ms.
D 0.395000 ms.
R 38.370998 ms.
C 193.171997 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7495.228027 ms.
e 731.278809 ms.
R 38.370998 ms.
T 0.000000 ms.
E 7499.133789 ms.
e 732.827637 ms.
C 176.391998 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7491.331055 ms.
e 734.715820 ms.
C 188.151993 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7495.897949 ms.
e 724.977051 ms.
Quadrado mágico.
R 38.745998 ms.
C 196.458984 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7488.001953 ms.
e 731.676758 ms.
R 38.745998 ms.
C 196.346008 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7485.617188 ms.
e 723.872070 ms.
R 38.745998 ms.
C 187.835022 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7485.344727 ms.
e 742.527832 ms.
R 38.745998 ms.
C 196.380981 ms.
D 0.449000 ms.
T 0.000000 ms.
E 7491.462891 ms.
e 739.274902 ms.
Quadrado mágico.
R 38.287998 ms.
C 210.425995 ms.
D 0.000000 ms.
T 0.000000 ms.
E 8008.946777 ms.
R 38.287998 ms.
C 210.576004 ms.
e 1250.469727 ms.
D 0.395000 ms.
T 0.000000 ms.
E 8016.558105 ms.
e 1250.783203 ms.
R 38.287998 ms.
C 210.408997 ms.
D 0.000000 ms.
T 0.000000 ms.
E 8013.758789 ms.
e 739.656738 ms.
R 38.287998 ms.
C 198.809998 ms.
D 0.000000 ms.
T 0.000000 ms.
E 8009.342773 ms.
e 1251.548828 ms.
Quadrado mágico.
R 38.289001 ms.
C 224.432999 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7523.707031 ms.
e 760.508789 ms.
R 38.289001 ms.
C 224.524994 ms.
D 0.495000 ms.
T 0.000000 ms.
E 7529.455078 ms.
e 743.587891 ms.
R 38.289001 ms.
C 224.505005 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7526.807129 ms.
e 770.717285 ms.
R 38.289001 ms.
C 217.074997 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7526.810059 ms.
e 772.530273 ms.
Quadrado mágico.
R 38.493000 ms.
C 200.007996 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7511.512207 ms.
e 746.964355 ms.
R 38.493000 ms.
C 199.940002 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7508.282227 ms.
e 753.682129 ms.
R 38.493000 ms.
C 200.146973 ms.
D 0.505000 ms.
T 0.000000 ms.
E 7514.819824 ms.
e 733.342773 ms.
R 38.493000 ms.
C 190.934021 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7508.286133 ms.
e 717.867188 ms.
Quadrado mágico.
R 38.089001 ms.
C 196.649994 ms.
D 0.456000 ms.
T 0.000000 ms.
E 7514.862793 ms.
e 736.570801 ms.
R 38.089001 ms.
C 196.570999 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7508.569824 ms.
e 749.095703 ms.
R 38.090000 ms.
C 183.134003 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7511.918945 ms.
e 748.461914 ms.
R 38.090000 ms.
C 196.740997 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7509.089844 ms.
e 746.632812 ms.
Quadrado mágico.
R 38.542000 ms.
C 342.954987 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7628.347168 ms.
e 861.945312 ms.
R 38.542000 ms.
C 343.122986 ms.
D 0.000000 ms.
R 38.542000 ms.
C 332.145996 ms.
D 0.454000 ms.
T 0.000000 ms.
E 7631.447266 ms.
R 38.542000 ms.
C 332.149994 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7625.541016 ms.
e 878.039062 ms.
T 0.000000 ms.
E 7626.214844 ms.
e 889.659668 ms.
e 855.773438 ms.
Quadrado mágico.
R 37.908001 ms.
C 216.195007 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7533.867188 ms.
e 737.027344 ms.
R 37.907001 ms.
C 203.488998 ms.
D 0.500000 ms.
T 0.000000 ms.
E 7539.991211 ms.
e 738.042969 ms.
R 37.907001 ms.
R 37.907001 ms.
C 207.490005 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7535.770996 ms.
e 768.560059 ms.
C 216.214996 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7538.333984 ms.
e 747.067871 ms.
Quadrado mágico.
R 38.335999 ms.
C 186.279007 ms.
D 0.000000 ms.
T 0.000000 ms.
R 38.335999 ms.
C 198.205002 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7476.706055 ms.
e 740.969238 ms.
E 7476.734863 ms.
e 747.665039 ms.
R 38.335999 ms.
C 198.145996 ms.
D 0.454000 ms.
T 0.000000 ms.
E 7483.535156 ms.
e 731.217285 ms.
R 38.335999 ms.
C 198.266998 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7480.382812 ms.
e 729.251953 ms.
Quadrado mágico.
R 39.389000 ms.
C 204.997009 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7497.468750 ms.
e 745.155762 ms.
R 39.389000 ms.
C 204.825989 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7500.183105 ms.
e 748.265137 ms.
R 39.389000 ms.
C 190.166992 ms.
R 39.389000 ms.
C 204.874023 ms.
D 0.448000 ms.
T 0.000000 ms.
E 7503.451172 ms.
e 741.081055 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7497.800781 ms.
e 725.662598 ms.
Quadrado mágico.
R 39.862000 ms.
C 334.524994 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7634.396973 ms.
e 900.702148 ms.
R 39.862000 ms.
C 340.239014 ms.
D 0.485000 ms.
T 0.000000 ms.
E 7638.147949 ms.
e 889.830078 ms.
R 39.862000 ms.
C 340.169006 ms.
R 39.862000 ms.
C 330.535004 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7633.375977 ms.
e 862.885742 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7633.035156 ms.
e 887.628906 ms.
Quadrado mágico.
R 38.358002 ms.
R 38.358002 ms.
C 137.694000 ms.
D 0.500000 ms.
T 0.000000 ms.
E 7422.299805 ms.
R 38.358002 ms.
C 137.595001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7416.660156 ms.
e 681.597168 ms.
C 137.606995 ms.
D 0.000000 ms.
T 0.000000 ms.
e 681.981934 ms.
R 38.359001 ms.
C 137.828995 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7419.688965 ms.
e 683.611816 ms.
E 7417.087891 ms.
e 672.179688 ms.
Quadrado mágico.
R 38.665001 ms.
C 195.977997 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7501.435059 ms.
e 725.055176 ms.
R 38.664001 ms.
C 195.990005 ms.
D 0.456000 ms.
T 0.000000 ms.
E 7506.623047 ms.
e 750.969238 ms.
R 38.664001 ms.
C 206.770004 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7501.080078 ms.
e 747.568848 ms.
R 38.664001 ms.
C 206.664001 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7503.792969 ms.
e 731.724121 ms.
Quadrado mágico.
R 38.561001 ms.
C 197.223022 ms.
D 0.396000 ms.
T 0.000000 ms.
E 7514.652832 ms.
e 737.213867 ms.
R 38.561001 ms.
C 197.216003 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7509.412109 ms.
e 736.983887 ms.
R 38.561001 ms.
C 197.137024 ms.
D 0.000000 ms.
R 38.562000 ms.
C 195.500000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7511.015137 ms.
e 754.063965 ms.
T 0.000000 ms.
E 7512.546875 ms.
e 734.401855 ms.
Quadrado mágico.
R 38.394001 ms.
C 201.955994 ms.
D 0.397000 ms.
T 0.000000 ms.
E 7507.646973 ms.
e 738.254883 ms.
R 38.394001 ms.
C 201.927002 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7504.305176 ms.
e 745.269043 ms.
R 38.394001 ms.
C 201.865997 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7501.152832 ms.
e 750.231934 ms.
R 38.394001 ms.
C 191.070999 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7501.285156 ms.
e 731.703125 ms.
Quadrado mágico.
R 38.452000 ms.
C 194.266006 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7484.354004 ms.
e 741.505859 ms.
R 38.452999 ms.
C 194.300003 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7484.018066 ms.
e 718.128906 ms.
R 38.452000 ms.
C 194.492004 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7487.806152 ms.
e 742.583008 ms.
R 38.452999 ms.
C 181.580994 ms.
D 0.457000 ms.
T 0.000000 ms.
E 7491.544922 ms.
e 743.152832 ms.
Quadrado mágico.
R 37.849998 ms.
C 189.733002 ms.
D 0.000000 ms.
T 0.000000 ms.
R 37.848999 ms.
R 37.848999 ms.
C 179.565994 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7513.421875 ms.
e 734.561035 ms.
C 189.692993 ms.
D 0.395000 ms.
T 0.000000 ms.
E 7516.445801 ms.
e 735.298828 ms.
E 7511.191895 ms.
e 735.511719 ms.
R 37.848999 ms.
C 189.686996 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7510.819824 ms.
e 725.569824 ms.
Quadrado mágico.
R 38.171001 ms.
C 192.031006 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7491.502930 ms.
e 714.497070 ms.
R 38.171001 ms.
C 202.500000 ms.
D 0.486000 ms.
T 0.000000 ms.
E 7498.048828 ms.
e 736.461914 ms.
R 38.171001 ms.
C 202.523987 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7495.083008 ms.
e 747.847168 ms.
R 38.171001 ms.
C 202.387024 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7492.507812 ms.
e 736.218750 ms.
Quadrado mágico.
R 38.826000 ms.
C 201.761993 ms.
D 0.409000 ms.
T 0.000000 ms.
E 7505.688965 ms.
e 728.225098 ms.
R 38.826000 ms.
C 208.149002 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7501.329102 ms.
e 744.283203 ms.
R 38.826000 ms.
C 208.311996 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7501.315918 ms.
e 746.482910 ms.
R 38.826000 ms.
C 208.298996 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7504.599121 ms.
e 758.073242 ms.
Quadrado mágico.
R 38.495998 ms.
C 184.813004 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7495.182129 ms.
e 741.420898 ms.
R 38.495998 ms.
C 191.056000 ms.
D 0.521000 ms.
T 0.000000 ms.
E 7501.263184 ms.
e 741.892090 ms.
R 38.495998 ms.
C 191.175995 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7496.524902 ms.
e 733.559082 ms.
R 38.495998 ms.
C 191.229996 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7499.755859 ms.
e 725.690918 ms.
Quadrado mágico.
R 38.672001 ms.
C 342.423004 ms.
D 0.000000 ms.
T 0.000000 ms.
R 38.672001 ms.
C 342.441010 ms.
R 38.673000 ms.
C 330.670013 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7634.875000 ms.
e 890.514160 ms.
R 38.672001 ms.
C 330.667999 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7631.809082 ms.
e 857.327148 ms.
D 0.502000 ms.
T 0.000000 ms.
E 7637.645020 ms.
e 882.125000 ms.
E 7632.122070 ms.
e 881.000000 ms.
Quadrado mágico.
R 38.145000 ms.
C 168.151993 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7482.973145 ms.
e 696.330078 ms.
R 38.146000 ms.
C 177.921997 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7485.012207 ms.
e 713.701172 ms.
R 38.145000 ms.
C 177.977997 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7489.503906 ms.
e 725.631836 ms.
R 38.145000 ms.
C 177.858994 ms.
D 0.473000 ms.
T 0.000000 ms.
E 7493.757812 ms.
e 724.901855 ms.
Quadrado mágico.
R 38.161999 ms.
C 139.859009 ms.
D 0.448000 ms.
T 0.000000 ms.
R 38.161999 ms.
E 7459.348145 ms.
e 689.491211 ms.
C 140.033997 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7453.865234 ms.
e 684.181152 ms.
R 38.161999 ms.
C 144.106995 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7456.616211 ms.
e 683.812988 ms.
R 38.161999 ms.
C 143.976990 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7454.125000 ms.
e 672.850098 ms.
Quadrado mágico.
R 38.331001 ms.
C 193.449005 ms.
R 38.331001 ms.
C 186.363007 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7483.479980 ms.
e 728.977051 ms.
D 0.000000 ms.
R 38.331001 ms.
C 193.352997 ms.
D 0.489000 ms.
T 0.000000 ms.
E 7488.929199 ms.
e 726.892090 ms.
T 0.000000 ms.
E 7483.068848 ms.
e 710.261719 ms.
R 38.331001 ms.
C 193.326996 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7488.294922 ms.
e 746.079102 ms.
Quadrado mágico.
R 39.136002 ms.
C 192.494003 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7473.791016 ms.
e 734.243164 ms.
R 39.136002 ms.
C 184.253006 ms.
D 0.466000 ms.
T 0.000000 ms.
E 7479.486816 ms.
e 740.568848 ms.
R 39.136002 ms.
R 39.136002 ms.
C 192.354996 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7475.592773 ms.
e 713.836914 ms.
C 192.391006 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7478.416016 ms.
e 745.583984 ms.
Quadrado mágico.
R 37.806000 ms.
C 191.378998 ms.
D 0.396000 ms.
T 0.000000 ms.
E 7499.412109 ms.
e 708.928223 ms.
R 37.806000 ms.
C 174.848007 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7494.522949 ms.
e 740.812012 ms.
R 37.806000 ms.
C 191.455994 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7495.580078 ms.
e 730.166992 ms.
R 37.806000 ms.
C 191.440002 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7500.263184 ms.
e 743.878418 ms.
Quadrado mágico.
R 38.558998 ms.
C 197.325012 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7485.132812 ms.
e 735.000000 ms.
R 38.558998 ms.
C 197.349976 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7486.052734 ms.
e 739.157715 ms.
R 38.560001 ms.
C 197.361023 ms.
D 0.000000 ms.
T 0.000000 ms.
E 7489.178223 ms.
e 728.416016 ms.
R 38.558998 ms.
C 176.982971 ms.
D 0.470000 ms.
T 0.000000 ms.
E 7492.918945 ms.
