Quadrado mágico imperfeito.
Reading 86.716003 ms.
R 12.403000 ms.
C 28.704000 ms.
D 0.031000 ms.
T 0.000000 ms.
E 635.231995 ms.
Reading 81.723000 ms.
R 12.402000 ms.
C 28.614000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 630.184998 ms.
e 548.461975 ms.
e 548.515991 ms.
Reading 81.084000 ms.
R 12.403000 ms.
C 28.660999 ms.
D 0.000000 ms.
T 0.000000 ms.
E 629.807983 ms.
e 548.723999 ms.
Reading 83.824997 ms.
R 12.403000 ms.
C 28.555000 ms.
D 0.000000 ms.
T 0.000000 ms.
E 634.585999 ms.
e 550.760986 ms.
