Quadrado mágico.
Reading 26817.222656 ms.
R 137.856995 ms.
C 702.507996 ms.
D 0.000000 ms.
T 0.000000 ms.
E 29476.191406 ms.
e 2658.968750 ms.
Reading 26823.904297 ms.
R 137.856003 ms.
C 689.661987 ms.
D 0.731000 ms.
T 0.000000 ms.
E 29493.876953 ms.
e 2669.972656 ms.
Reading 26819.960938 ms.
R 137.856003 ms.
C 702.282959 ms.
D 0.000000 ms.
T 0.000000 ms.
E 29491.054688 ms.
e 2671.093750 ms.
Reading 26817.193359 ms.
R 137.856003 ms.
C 702.342041 ms.
D 0.000000 ms.
T 0.000000 ms.
E 29488.312500 ms.
e 2671.119141 ms.
