Quadrado mágico imperfeito.
Reading 402.789001 ms.
R 12.016000 ms.
C 37.889999 ms.
D 0.000000 ms.
T 0.000000 ms.
E 967.396973 ms.
e 564.607971 ms.
Reading 408.104004 ms.
R 12.001000 ms.
C 44.716999 ms.
D 0.064000 ms.
T 0.000000 ms.
E 973.296021 ms.
e 565.192017 ms.
Reading 405.505981 ms.
R 12.012000 ms.
C 44.660999 ms.
D 0.000000 ms.
T 0.000000 ms.
E 972.729980 ms.
e 567.223999 ms.
Reading 402.617004 ms.
R 12.012000 ms.
C 44.821999 ms.
D 0.000000 ms.
T 0.000000 ms.
E 970.637024 ms.
e 568.020020 ms.
